Company_name_encoded,TypeName_name_encoded,Cpu_brand_name_encoded,CPU_vel,GPU_name_encoded,Ram,first_type_name_encoded,first_size,second_type_name_encoded,second_size,Touchscreen,Ips,Inches,ppi,os_name_encoded,Price
7,3,25,1.6,2,8,3,256,2,0,0,0,17.3,127.33567457123111,2,19200
4,3,25,2.5,0,8,1,1000,2,0,0,0,15.6,100.45466986113651,2,13200
4,3,24,2.0,0,4,1,1000,2,0,0,0,15.6,141.21199808219862,2,9300
0,4,26,1.8,2,8,3,256,2,0,0,1,14.0,157.3505121487356,2,18300
0,3,24,2.7,3,4,3,256,2,0,0,0,15.6,141.21199808219862,2,11800
7,3,26,2.7,2,8,1,1000,2,0,0,0,15.6,100.45466986113651,2,12400
7,3,26,1.8,2,8,3,256,2,0,0,0,14.0,157.3505121487356,2,20500
10,3,27,1.1,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,1,5200
2,1,25,2.5,3,8,3,128,0,1000,0,0,17.3,127.33567457123111,2,19400
10,3,25,2.5,3,4,1,1000,2,0,0,0,15.6,141.21199808219862,1,10300
7,3,25,2.5,2,4,3,256,2,0,0,1,13.3,165.6321180513006,2,14500
0,3,24,2.7,3,4,1,1000,2,0,0,1,17.3,127.33567457123111,2,13600
10,3,25,1.6,0,8,3,256,2,0,0,1,14.0,157.3505121487356,2,23100
10,1,26,2.8,3,8,3,256,2,0,0,1,15.6,141.21199808219862,1,18000
16,3,25,2.3,2,4,1,0,2,0,0,0,15.6,100.45466986113651,2,12500
7,3,7,2.5,0,4,3,256,2,0,0,0,15.6,100.45466986113651,2,7600
2,4,26,1.8,2,8,3,256,2,0,0,0,14.0,157.3505121487356,2,22800
7,4,27,1.2,2,8,3,512,2,0,1,1,12.5,352.4651472131677,2,41800
2,3,27,1.1,2,4,1,1000,2,0,0,0,15.6,141.21199808219862,2,7100
11,1,26,2.8,3,16,3,256,0,1000,0,0,17.3,127.33567457123111,2,42100
0,3,24,2.0,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,9200
4,1,26,2.8,3,16,3,512,2,0,0,0,15.6,141.21199808219862,2,25900
4,1,26,2.8,3,8,2,1000,2,0,0,0,15.6,141.21199808219862,2,18600
10,3,25,2.5,2,4,3,128,2,0,0,0,15.6,100.45466986113651,2,10300
11,1,26,2.8,3,16,3,256,0,1000,0,0,17.3,127.33567457123111,2,39200
7,4,25,2.7,2,4,3,256,2,0,0,0,14.0,157.3505121487356,2,22400
7,3,25,1.6,0,6,3,256,2,0,0,0,15.6,141.21199808219862,2,12800
10,0,24,2.4,2,4,3,256,2,0,1,1,14.0,157.3505121487356,2,13000
2,0,25,1.6,2,8,3,256,2,0,1,0,13.3,165.6321180513006,2,27300
4,0,26,1.8,2,8,3,256,2,0,1,0,15.6,141.21199808219862,2,21700
16,3,24,2.2,2,4,1,0,2,0,0,0,15.6,100.45466986113651,2,9200
2,3,11,3.0,0,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,8300
0,3,25,1.6,3,4,3,256,2,0,0,1,17.3,127.33567457123111,2,16700
4,3,25,1.6,0,8,3,256,2,0,0,0,15.6,141.21199808219862,2,15100
10,1,26,2.8,3,16,3,256,2,0,0,1,15.6,141.21199808219862,2,22400
0,3,27,1.1,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,7200
11,1,26,2.8,3,16,3,256,0,1000,0,1,15.6,141.21199808219862,2,37300
0,3,27,1.1,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,7500
4,1,26,2.8,3,8,3,128,0,1000,0,0,15.6,141.21199808219862,2,22000
0,3,25,1.6,3,8,3,256,2,0,0,1,17.3,127.33567457123111,2,17700
7,3,25,1.6,2,4,1,0,2,0,0,1,13.3,165.6321180513006,2,15600
8,4,25,2.5,2,8,3,256,2,0,0,1,13.0,199.69207064108247,2,28000
7,3,25,2.5,0,6,1,2000,2,0,0,1,17.3,127.33567457123111,2,14500
10,3,7,2.9,0,4,1,0,2,0,0,0,15.6,100.45466986113651,1,6400
16,3,24,2.4,2,4,1,0,2,0,0,0,15.6,100.45466986113651,2,10100
7,3,25,1.6,3,8,3,256,2,0,0,0,17.3,127.33567457123111,2,19100
4,3,24,2.4,2,8,1,1000,2,0,0,0,15.6,100.45466986113651,2,9500
0,3,24,2.0,2,4,3,128,2,0,0,0,15.6,100.45466986113651,2,9300
11,1,26,2.9,3,32,3,512,0,1000,0,0,18.4,119.7232157653423,2,58100
10,3,25,2.5,0,8,3,128,0,1000,0,0,15.6,141.21199808219862,2,16800
7,0,25,1.6,2,8,3,256,2,0,1,1,13.3,331.2642361026012,2,31100
4,3,26,1.8,0,16,3,256,0,2000,0,0,15.6,141.21199808219862,1,21700
4,4,25,1.6,2,8,3,256,2,0,0,0,13.3,165.6321180513006,2,29000
10,0,26,1.8,2,16,3,512,2,0,1,1,13.9,316.96506044349616,2,38400
16,3,25,2.5,2,8,3,128,2,0,0,0,15.6,100.45466986113651,2,16400
18,3,25,1.6,3,8,3,256,2,0,0,1,15.6,141.21199808219862,1,24900
4,3,26,1.8,3,16,3,512,2,0,1,0,17.3,127.33567457123111,2,32100
4,3,26,2.8,3,16,3,512,2,0,1,0,15.6,282.42399616439724,2,49800
10,1,25,2.5,3,8,3,256,2,0,0,1,15.6,141.21199808219862,1,16100
0,4,25,1.2,2,8,3,256,2,0,0,1,13.3,165.6321180513006,2,20500
4,3,26,1.8,0,8,3,128,0,1000,0,0,17.3,127.33567457123111,2,22500
