Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Cpu_brand,CPU_vel,GPU,first_size,first_type,second_size,second_type,Touchscreen,Ips,X_res,Y_res,ppi,os,Company_name_encoded,TypeName_name_encoded,Cpu_brand_name_encoded,GPU_name_encoded,first_type_name_encoded,second_type_name_encoded,os_name_encoded
Asus,Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32 Flash Storage,AMD Radeon R2,Windows 10,1.65,4100,AMD E-Series E2-6110,1.5,AMD,32,Flash,0,None,0,0,1366,768,111.93520355955211,Windows,2,3,17,0,0,2,2
HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,0 HDD,AMD Radeon 530,Windows 10,2.71,9100,AMD A6-Series 9220,2.5,AMD,0,HDD,0,None,0,0,1920,1080,127.33567457123111,Windows,7,3,7,0,1,2,2
Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512 SSD,Intel UHD Graphics 620,Windows 10,1.2,38800,Intel Core i7,1.8,Intel,512,SSD,0,None,1,0,3200,1800,276.053530085501,Windows,4,4,26,2,3,2,2
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256 Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,20700,Intel Core i5,1.6,Intel,256,Flash,0,None,0,0,1440,900,127.67794013309688,Mac,1,4,25,2,0,2,0
Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64 Flash Storage,Intel HD Graphics 500,Windows 10,1.44,5100,Other Intel Processor,1.1,Intel,64,Flash,0,None,0,0,1366,768,111.93520355955211,Windows,10,3,27,2,0,2,2
Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1000 HDD,Intel HD Graphics 620,Linux,2.1,7600,Intel Core i3,2.7,Intel,1000,HDD,0,None,0,0,1366,768,100.45466986113651,Others/No OS/Linux,0,3,24,2,1,2,1
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 SSD +  1000 HDD,AMD Radeon 530,Windows 10,2.8,20300,Intel Core i5,1.6,AMD,128,SSD,1000,HDD,0,1,1920,1080,127.33567457123111,Windows,4,3,25,0,3,0,2
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1000 HDD,Intel HD Graphics 620,Windows 10,1.86,10100,Intel Core i5,2.5,Intel,1000,HDD,0,None,0,0,1366,768,100.45466986113651,Windows,7,3,25,2,1,2,2
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Nvidia GeForce 930MX ,Windows 10,2.1,18200,Intel Core i5,1.6,Nvidia,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,7,3,25,3,3,2,2
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1000 HDD,Intel HD Graphics 620,Linux,2.0,8000,Intel Core i3,2.0,Intel,1000,HDD,0,None,0,0,1920,1080,141.21199808219862,Others/No OS/Linux,2,3,24,2,1,2,1
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,31100,Intel Core i7,2.8,Nvidia,256,SSD,1000,HDD,0,1,1920,1080,141.21199808219862,Windows,4,1,26,3,3,0,2
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1000 HDD,Nvidia GeForce 940MX,Linux,2.3,10800,Intel Core i5,2.5,Nvidia,1000,HDD,0,None,0,0,1366,768,100.45466986113651,Others/No OS/Linux,2,3,25,3,1,2,1
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256 SSD,Intel UHD Graphics 620,Windows 10,2.2,14100,Intel Core i5,1.6,Intel,256,SSD,0,None,0,1,1920,1080,141.21199808219862,Windows,0,3,25,2,3,2,2
Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1000 HDD,Nvidia GeForce 150MX,Windows 10,2.77,20700,Intel Core i5,1.6,Nvidia,1000,HDD,0,None,1,0,1920,1080,127.33567457123111,Windows,4,0,25,3,1,2,2
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256 SSD,Intel Iris Graphics 540,macOS,1.37,29400,Intel Core i5,2.0,Intel,256,SSD,0,None,0,1,2560,1600,226.98300468106115,Mac,1,4,25,2,3,2,0
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128 SSD,Intel HD Graphics 520,No OS,2.2,7600,Intel Core i3,2.0,Intel,128,SSD,0,None,0,0,1366,768,100.45466986113651,Others/No OS/Linux,10,3,24,2,3,2,1
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256 SSD +  1000 HDD,AMD Radeon RX 580,Windows 10,3.2,26900,AMD Ryzen 1700,3.0,AMD,256,SSD,1000,HDD,0,0,1920,1080,127.33567457123111,Windows,2,1,23,0,3,0,2
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256 SSD,AMD Radeon R5 M430,Windows 10,2.3,13200,Intel Core i5,2.5,AMD,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,4,3,25,0,3,2,2
Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1000 HDD,Nvidia GeForce 920MX,Windows 10,2.8,9600,Other Intel Processor,1.1,Nvidia,1000,HDD,0,None,0,0,1366,768,90.58340172449303,Windows,2,3,27,3,1,2,2
Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64 Flash Storage,Intel HD Graphics 400,Android,0.69,6600,Other Intel Processor,1.44,Intel,64,Flash,0,None,1,1,1920,1200,224.17380907857276,Others/No OS/Linux,10,0,27,2,0,2,1
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,Nvidia GeForce MX150,Windows 10,2.2,17400,Intel Core i7,1.8,Nvidia,256,SSD,0,None,0,1,1920,1080,141.21199808219862,Windows,0,3,26,3,3,2,2
HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256 SSD,AMD Radeon R4 Graphics,Windows 10,1.86,8200,AMD A6-Series 9220,2.5,AMD,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,7,3,7,0,3,2,2
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512 SSD,Intel UHD Graphics 620,Windows 10,1.49,22900,Intel Core i7,1.8,Intel,512,SSD,0,None,0,0,1920,1080,165.6321180513006,Windows,7,3,26,2,3,2,2
Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1000 HDD,Intel HD Graphics 620,Windows 10,2.4,7900,Intel Core i3,2.4,Intel,1000,HDD,0,None,0,0,1366,768,100.45466986113651,Windows,0,3,24,2,1,2,2
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,AMD Radeon 520,Windows 10,2.13,15900,Intel Core i7,1.8,AMD,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,4,3,26,0,3,2,2
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128 SSD,Intel HD Graphics 520,Windows 10,1.91,9100,Intel Core i3,2.0,Intel,128,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,7,3,24,2,3,2,2
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256 SSD,Intel HD Graphics 620,Windows 10,2.0,12100,Intel Core i5,2.5,Intel,256,SSD,0,None,0,0,1366,768,100.45466986113651,Windows,2,3,25,2,3,2,2
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  2000 HDD,Nvidia GeForce GTX 1070,Windows 10,2.43,50800,Intel Core i7,2.8,Nvidia,256,SSD,2000,HDD,0,0,1920,1080,127.33567457123111,Windows,11,1,26,3,3,0,2
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256 SSD,Intel HD Graphics 520,Linux,2.0,8600,Intel Core i3,2.0,Intel,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Others/No OS/Linux,2,3,24,2,3,2,1
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256 SSD +  2000 HDD,AMD Radeon 530,Windows 10,2.8,26900,Intel Core i7,1.8,AMD,256,SSD,2000,HDD,0,0,1920,1080,127.33567457123111,Windows,4,3,26,0,3,0,2
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.7,18200,Intel Core i5,1.6,Intel,256,SSD,0,None,0,0,1920,1080,157.3505121487356,Windows,4,4,25,2,3,2,2
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256 SSD,Intel HD Graphics 620,No OS,1.7,12400,Intel Core i3,2.7,Intel,256,SSD,0,None,0,1,1920,1080,157.3505121487356,Others/No OS/Linux,10,3,24,2,3,2,1
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.4,19500,Intel Core i5,1.6,Intel,256,SSD,0,None,0,0,1920,1080,157.3505121487356,Windows,2,3,25,2,3,2,2
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.86,14300,Intel Core i5,2.5,Intel,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,7,3,25,2,3,2,2
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512 SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,41200,Intel Core i7,2.8,Nvidia,512,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,2,4,26,3,3,2,2
HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,0 HDD,AMD Radeon 520,Windows 10,1.86,9100,Intel Core i3,2.0,AMD,0,HDD,0,None,0,0,1366,768,100.45466986113651,Windows,7,3,24,0,1,2,2
HP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32 SSD,Intel HD Graphics 400,Windows 10,1.44,4700,Other Intel Processor,1.6,Intel,32,SSD,0,None,0,0,1366,768,111.93520355955211,Windows,7,3,27,2,3,2,2
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1000 HDD,Intel HD Graphics 620,Windows 10,1.9,11400,Intel Core i5,2.5,Intel,1000,HDD,0,None,0,0,1920,1080,141.21199808219862,Windows,10,3,25,2,1,2,2
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1000 HDD,Nvidia GeForce GTX 1050 Ti,Linux,3.0,19700,Intel Core i7,2.8,Nvidia,1000,HDD,0,None,0,0,1920,1080,127.33567457123111,Others/No OS/Linux,2,1,26,3,1,2,1
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128 SSD,Intel HD Graphics 620,Windows 10 S,1.252,22600,Intel Core i5,2.5,Intel,128,SSD,0,None,1,0,2256,1504,200.84255993695703,Windows,13,4,25,2,3,2,2
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,AMD Radeon 530,Windows 10,1.4,19800,Intel Core i7,1.8,AMD,256,SSD,0,None,0,1,1920,1080,165.6321180513006,Windows,4,4,26,0,3,2,2
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,AMD Radeon 530,Windows 10,2.2,18000,Intel Core i7,1.8,AMD,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,4,3,26,0,3,2,2
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.7,22700,Intel Core i5,2.5,Nvidia,128,SSD,1000,HDD,0,0,1920,1080,127.33567457123111,Windows,11,1,25,3,3,0,2
Acer,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1000 HDD,Intel HD Graphics 520,Windows 10,2.1,8000,Intel Core i3,2.0,Intel,1000,HDD,0,None,0,0,1366,768,111.93520355955211,Windows,0,3,24,2,1,2,2
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,19700,Intel Core i7,2.8,Nvidia,1000,HDD,0,None,0,0,1920,1080,141.21199808219862,Windows,2,1,26,3,1,2,2
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2000 HDD,Intel HD Graphics 620,No OS,2.2,10700,Intel Core i5,2.5,Intel,2000,HDD,0,None,0,0,1920,1080,141.21199808219862,Others/No OS/Linux,10,3,25,2,1,2,1
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 SSD +  1000 HDD,Intel UHD Graphics 620,Windows 10,2.02,17700,Intel Core i7,1.8,Intel,128,SSD,1000,HDD,0,0,1920,1080,141.21199808219862,Windows,4,3,26,2,3,0,2
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1000 HDD,Nvidia GeForce MX130,Windows 10,2.2,11000,Intel Core i3,2.7,Nvidia,1000,HDD,0,None,0,0,1920,1080,141.21199808219862,Windows,0,3,24,3,1,2,2
